Name,Person,Email,Address,Phone,Dataset,Classification
Mercy Medical Center - North Iowa Mental Health Unit,Rose Brantner,brantnrm@mercyhealth.com,"1000 4th Street SW 5 South,  Mason City, 50401",641-428-1037 (ph) 641-428-7518 (fax),Problem Gambling Recovery,Recovery
"Mercy Health Center, Turning Point",Joyce McDermont,mcdermjk@mercyhealth.com,"250 Mercy Drive, Dubuque, 52001",563-589-8290 (ph) 563-589-8297 (fax),Problem Gambling Recovery,Recovery
Mercy Medical Center Sedlacek Unit,Lori Hagg,lhagg@mercycare.org,"5975 Rockwell Dr NE, Cedar Rapids, 52402",319-398-6226 (ph) 319-369-4479 (fax),Problem Gambling Recovery,Recovery
Myrtue Medical Center Behavioral Health Department,Deb Meissner,dmeissner@myrtuemedical.org,"1303 Garfield Avenue, Harlan, 51537",712-755-5056 (ph) 712-755-7143 (fax),Problem Gambling Recovery,Recovery
NE Iowa Behavioral Health (NEIBH),Marcia Oltrogge,oltrogma@neimhc.org,"905 Montgomery Street, PO Box 349, Decorah, 52101",563-382-3649 (ph) 563-382-8183 (fax),Problem Gambling Recovery,Recovery
New Beginnings Counseling Services,Lynsi Grey,lgrey@nbcsiowa.com,"6200 Aurora Ave #102E, Urbandale, 50322",515-401-6886 (ph),Problem Gambling Recovery,Recovery
New Journey Addiction Counseling,Cheri Lowely-DeGroot,newjourneyac@gmail.com,"208 5th Street, Ste. 150, Ames, 50010",515-232-1977 (ph),Problem Gambling Recovery,Recovery
"New Opportunities, Inc.",Chad Jensen,cjensen@newopp.org,"23751 Hwy. 30 East, PO Box 427Carroll, 51401",712-792-9266 (ph) 712-792-1457 (fax),Problem Gambling Recovery,Recovery
"New Sight, Inc.",Edward Thompson,ekemtekem@newsightinc.com,"2340 Euclid Avenue, Des, Moines IA 50310",515-263-0019 (ph) 515-263-0048 (fax),Problem Gambling Recovery,Recovery
"North Iowa Counseling, LLC",Brad Hjelmeland,brad@nicounseling.com,"506 E. Bremer Avenue, PO Box 102, Waverly, 50677",319-559-1065 (ph),Problem Gambling Recovery,Recovery
Northwest Iowa Mental Health Center d/b/a Seasons Center for Behavioral Health,Kim Scorza,kscorza@seasonscenter.org,"201 East 11th Street, Spencer, 51301",800-242-5101 (ph) 712-262-3826 (fax),Problem Gambling Recovery,Recovery
Orchard Place Child Guidance Center,Val Saltsgaver,vsaltsgaver@orchardplace.org,"925 SW Porter Avenue, Des Moines, 50315-0304",515-285-6781 (ph) 515-287-9695 (fax),Problem Gambling Recovery,Recovery
PACE Juvenile Justice Center,Sonni Vierling,svierling@orchardplace.org,"620 8th  Street, Des Moines, 50309",515-697-5700 (ph) 515-697-5701 (fax),Problem Gambling Recovery,Recovery
OWI Program,Collin Lodico,clodico@qcfamilycounseling.com,"2485 Tech Drive, Bettendorf, 52722",563-355-1611 (ph) 563-355-6617 (fax),Problem Gambling Recovery,Recovery
"Pathways Behavioral Services, Inc.",Chris Hoffman,choffman@pathwaysb.org,"3362 University Avenue, Waterloo, 50701",319-235-6571 (ph) 319-235-6028 (fax),Problem Gambling Recovery,Recovery
Pella Pine Rest Christian Mental Health Services,Mark Eastburg,mark.eastburg@pinerest.org,"2611 Washington Street, Pella, 50219",641-628-9599 (ph) 641-621-1493 (fax),Problem Gambling Recovery,Recovery
Plains Area Mental Health Center,Kim Keleher,Kkeleher@pamhc.org,"180 10th Street SE, Suite 201, PO Box 70, Le Mars, 51031",712-546-4624 (ph) 712-546-9395 (fax),Problem Gambling Recovery,Recovery
Powell Chemical Dependency Program,Neil Fagan,ILHPowellCDC@UnityPoint.org,"700 E. University, ILH 4 Mid, Des Moines, 50316",515-263-2424 (ph) 515-263-2463 (fax),Problem Gambling Recovery,Recovery
Prairie Ridge Addiction Services,Lorrie Young,lyoung@prairieridge.net,"320 North Eisenhower Ave, PO Box 1338 Mason City, 50402",641-424-2391 (ph) 641-424-0783 (fax),Problem Gambling Recovery,Recovery
Prelude Behavioral Services,Ron Berg,rberg@preludeiowa.org,"430 Southgate Avenue, Iowa City, 52240",319-351-4357 (ph) 319-341-0085 (fax),Problem Gambling Recovery,Recovery
Resolutions Substance Abuse Services,Nelson Mellado,NelResolutions@yahoo.com,"2030 Keokuk Street, Iowa City, 52240",319-351-9760 (ph) 319-331-0994 (fax),Problem Gambling Recovery,Recovery
Robert Young Center for Community Mental Health,Dennis Duke,Dennis.duke@unitypoint.org,"1605 Cedar Street, Muscatine, 52761",563-264-9409 (ph),Problem Gambling Recovery,Recovery
Rosecrance New Life Outpatient,Angie Encheff,aencheff@rosecrance.org,"2322 E. Kimberly Road, Paul Revere Square, Suite 200 North, Davenport, 52807",563-355-0055 (ph) 563-355-0101 (fax),Problem Gambling Recovery,Recovery
Shade of The Tree,Daniel Gigstad,54gigstad@cardinalmail.cua.edu,"900 Lake Street, Spirit Lake, 51360",712-330-9140 (ph) 712-336-9492 (fax),Problem Gambling Recovery,Recovery
Sieda Community Action,Brian Dunn,bdunn@sieda.org,"310 West Main Street, PO Box 658, Ottumwa, 52501",641-682-8741 (ph) 800-683-6317 (ph) 641-683-6317 (fax),Problem Gambling Recovery,Recovery
Silver Lining Evaluations,Jen Kositzky,silverliningevaluations@gmail.com,"185 4th Street South, PO Box 114, Walford, 52351",3  19-241-2230 (ph),Problem Gambling Recovery,Recovery
Siouxland Counseling Services,Diana Castro-Moctezauma,Bilingualcounseling@outlook.com,"409 11th Street, Sioux City, 51105",712-522-0947 (ph) 855-864-6105 (fax),Problem Gambling Recovery,Recovery
Southern Iowa Mental Health Center,Christina Schark,cschark@simhcottumwa.org,"1527 Albia Road, Ottumwa, 52501",641-682-8972 (ph),Problem Gambling Recovery,Recovery
Sober Strategies Inc.,Stephen Picken,stephenpicken3@gmail.com,"2655 100th Street, Urbandale, 50322",515-508-0961 (ph),Problem Gambling Recovery,Recovery
St. Gregory Recovery Center,Rick Pliszka,rpliszka@summitbhc.com,"601 2nd Street, Bayard, 50029",515-326-5650 (ph) 631-410-1394 (fax),Problem Gambling Recovery,Recovery
Still Waters Recovery Counseling & Wellness Services,Kelly G. Marsengill,KMarsengill@StillWatersPsalm23.Org,"1120 Depot Lane SE, Suite 100, Cedar Rapids, 52401",319-350-9444 (ph),Problem Gambling Recovery,Recovery
Substance Abuse Services Center (SASC),Debra Prier,prierd@sasc-dbq.org,"909 West Main, Ste. 1, PO Box 31. Manchester, 52057",563-927-5112 (ph) 563-927-3340 (fax),Problem Gambling Recovery,Recovery
Nesler Centre,,,"799 Main Street. Dubuque, 52001-6825",563-582-3784 (ph) 563-582-4006 (fax),Problem Gambling Recovery,Recovery
Substance Abuse Services for Clayton County,Merry French,mfrench@sas4cc.com,"600 Gunder Road NE, Suite 7, Elkader, 52043",563-245-1546 (ph) 563-245-1612 (fax),Problem Gambling Recovery,Recovery
Substance Abuse Treatment Unit of Central Iowa (SATUCI),Jenny Etter,jetter@satuci.com,"9 North 4th Avenue, PO Box 1453, Marshalltown, 50158",641-752-5421 (ph) 641-752-7211 (fax),Problem Gambling Recovery,Recovery
"The Abbey, LLC",Joseph L. Lemon,info@TheAbbeyCenter.com,"1401 Central Avenue, Bettendorf, 52722",563-355-4707 (ph) 563-355-7647 (fax),Problem Gambling Recovery,Recovery
"Transitional Services of Iowa, Inc.",Pam Ingram,pamelasiouxcity@aol.com,"1221 Pierce Street, Sioux City, 51101",712-255-0204 (ph) 712-255-1120 (fax),Problem Gambling Recovery,Recovery
"Turning Point Evaluations, Inc.",Jennifer Livingston,Jlivingston@turningpointevals.com,"113 N. John Wayne Dr, Winterset, 50237",515-462-5967 (ph) 515-462-5981 (fax),Problem Gambling Recovery,Recovery
"United Community Services, Inc. (UCS)",Jennifer Pearson,jenniferpearson@ucsdsm.org,"4908 Franklin Avenue, Des Moines, 50309-4615",515-280-3860 (ph) 515-883-2683 (fax),Problem Gambling Recovery,Recovery
Unity Point Health/St. Luke's Methodist Hospital,Matthew Rocca,Matthew.rocca@unitypoint.org,"1030 Fifth Avenue SE, Suite 110, Cedar Rapids, 52403",319-363-4429 (ph) 319-363-8108 (fax),Problem Gambling Recovery,Recovery
University of Iowa Hospitals and Clinics Chemical Dependency Services,Lowell Yoder,d-lowell-yoder@uiowa.edu,"200 Hawkins Drive, Iowa City, 52242-1009",319-384-8765 (ph) 319-384-9362 (fax),Problem Gambling Recovery,Recovery
Urban Dreams - S.A.F.E.,Izaah Knox,Izaah.knox@urbandreams.org,"1410 6th Avenue, Des Moines, 50314",515-288-4742 (ph) 515-284-5886 (fax),Problem Gambling Recovery,Recovery
Woodward Academy Woodward Youth Corporation,Tony Ortiz,Tony.ortiz@sequelyouthservices.com,"1251 334th Street, Woodward, 50276",515-438-3481 (ph) 515-438-3489 (fax),Problem Gambling Recovery,Recovery
"Youth & Shelter Services, Inc. (YSS)",Andrew Allen,aallen@yss.org,"420 Kellogg, Box 1628, Ames, 50010",515-233-3141 (ph) 515-233-2440 (fax),Problem Gambling Recovery,Recovery
YWCA of Fort Dodge,Mandi Crouse-Kelley,mandi@ywcafd.org,"826 1st  Avenue North, Fort Dodge, 50501",515-573-3931 (ph) 515-573-3950 (fax),Problem Gambling Recovery,Recovery
"Zion Recovery Services, ",Laurie Cooley,lcooley@zionrecovery.org,"2307 South Olive Street, Atlantic, 50022",712-243-5091 (ph) 712-243-1337 (fax),Problem Gambling Recovery,Recovery
