Name,Address,City,State,Zip,Type,Phone,ObjectId,x,y,Dataset,Classification
Palo Alto County Sheriff's Office,2001 11th Street,Emmetsburg,IA,50536,Law Enforcement,712-852-3535,34,-10539326.51,5328755.71,Drug Drop Off Sites,Drug Drop Off Sites
Estherville Police Department,114 Noth 6th Street,Estherville,IA,51334,Law Enforcement,712-362-3515,35,-10557173.45,5373630.433,Drug Drop Off Sites,Drug Drop Off Sites
Winnebago County Sheriff Office,216 S Clark St,Forest City,IA,50436,Law Enforcement,641-585-2828,36,-10423785.74,5351982.538,Drug Drop Off Sites,Drug Drop Off Sites
Hancock County Sheriff Office,875 State St,Garner,IA,50438,Law Enforcement,641-923-2621,37,-10419749.68,5326772.484,Drug Drop Off Sites,Drug Drop Off Sites
Grinnell Police Department,1020 Spring Street,Grinnell,IA,50112,Law Enforcement,641-236-2670,38,-10322523.17,5122926.636,Drug Drop Off Sites,Drug Drop Off Sites
Grundy County Sheriff Office,705 8th St,Grundy,IA,50638,Law Enforcement,319-824-6933,39,-10327555.99,5215268.541,Drug Drop Off Sites,Drug Drop Off Sites
Franklin County Sheriff Office,105 5th St SW PO Box 57,Hampton,IA,50441,Law Enforcement,641-456-2731,40,-10376486.89,5272554.723,Drug Drop Off Sites,Drug Drop Off Sites
Hiawatha Police Department,101 Emmons Street,Hiawatha,IA,52233,Law Enforcement,319-393-1212,41,-10205242.26,5166783.329,Drug Drop Off Sites,Drug Drop Off Sites
Humboldt County Sheriff Office,430 Sumner Ave,Humboldt,IA,50548,Law Enforcement,515-332-2471,42,-10487867.9,5269616.623,Drug Drop Off Sites,Drug Drop Off Sites
Ida County Sheriff's Office,401 Moorehead Street,Ida Grove,IA,51445,Law Enforcement,712-364-3146,43,-10627496.25,5212445.683,Drug Drop Off Sites,Drug Drop Off Sites
Inidanola Police Department,110 N 1st St,Indianola,IA,50125,Law Enforcement,515-961-9400,44,-10415001.83,5065656.716,Drug Drop Off Sites,Drug Drop Off Sites
Johnson County Sheriff's Office,511 South Capitol Street,Iowa City,IA,52241,Law Enforcement,319-356-6020,45,-10189767.42,5109491.228,Drug Drop Off Sites,Drug Drop Off Sites
University Heights Police Department,1004 Melrose Ave,Iowa City,IA,52246,Law Enforcement,319-887-6800,46,-10191678.72,5109728.671,Drug Drop Off Sites,Drug Drop Off Sites
Greene County Sheriff Office,204 S Chestnut St,Jefferson,IA,50129,Law Enforcement,515-386-2136,47,-10505609.64,5163018.228,Drug Drop Off Sites,Drug Drop Off Sites
Marion County Sheriff Office,211 N Godfrey Lane,Knoxville,IA,50138,Law Enforcement,641-828-2220,49,-10359668.29,5059101.177,Drug Drop Off Sites,Drug Drop Off Sites
Lake Mills Police Department,304 S Mill Street,Lake Mills,IA,50450,Law Enforcement,641-592-2188,50,-10412287.34,5375631.386,Drug Drop Off Sites,Drug Drop Off Sites
LeMars Police Department,22 2nd St NE,Le Mars,IA,51031,Law Enforcement,712-546-4113,51,-10705097.85,5280889.162,Drug Drop Off Sites,Drug Drop Off Sites
Lisbon Police Departement,115 N Washington Street,Lisbon,IA,52253,Law Enforcement,319-455-2452,53,-10172990.34,5149319.183,Drug Drop Off Sites,Drug Drop Off Sites
Harrison County Sheriff's Office,111 South 1st Ave.,Logan,IA,51546,Law Enforcement,712-644-2244,54,-10663344.59,5107596.566,Drug Drop Off Sites,Drug Drop Off Sites
Jackson County Sheriff Office,104 S Niagara,Maquoketa,IA,52060,Law Enforcement,563-652-3312,55,-10093100.28,5171333.168,Drug Drop Off Sites,Drug Drop Off Sites
Maquoketa Police Department,103 South Niagra Street,Maquoketa,IA,52060,Law Enforcement,563-652-2468,56,-10093092.19,5171337.117,Drug Drop Off Sites,Drug Drop Off Sites
Iowa County Sheriff Office,960 Franklyn Ave,Marengo,IA,52301,Law Enforcement,319-642-7307,57,-10249337.85,5131266.938,Drug Drop Off Sites,Drug Drop Off Sites
Walgreens,1525 E Kimberly Road,Davenport,IA,52807,Pharmacy,563-386-6883,58,-10080224.9,5094812.82,Drug Drop Off Sites,Drug Drop Off Sites
Donlon Pharmacy,201 W. Water Street,Decorah,IA,52101,Pharmacy,563-382-2626,59,-10217727.75,5358386.691,Drug Drop Off Sites,Drug Drop Off Sites
Walgreens,3140 SE 14th Street,Des Moines,IA,50320,Pharmacy,515-282-5295,60,-10419155.66,5094708.095,Drug Drop Off Sites,Drug Drop Off Sites
Marion Police Department,3911 Katz Drive,Marion,IA,52302,Law Enforcement,319-377-1511,61,-10193575.96,5166323.192,Drug Drop Off Sites,Drug Drop Off Sites
Marshalltown Police Department,22 North Center Street,Marshalltown,IA,50158,Law Enforcement,641-754-5725,62,-10343024.2,5168446.472,Drug Drop Off Sites,Drug Drop Off Sites
Marshall County Sheriff's Office,2369 Jessup Ave,Marshalltown,IA,50158,Law Enforcement,641-844-2854,63,-10359244.59,5162531.53,Drug Drop Off Sites,Drug Drop Off Sites
Cerro Gordo County Sheriff Office,17262 Lark Avenue,Mason City,IA,50401,Law Enforcement,641-421-3000,64,-10383932.06,5334182.872,Drug Drop Off Sites,Drug Drop Off Sites
Mason City Police Department,78 South Georgia Ave,Mason City,IA,50401,Law Enforcement,641-421-3636,65,-10374555.51,5335037.189,Drug Drop Off Sites,Drug Drop Off Sites
Monticello Police Department,201 East South Street,Monticello,IA,52310,Law Enforcement,319-465-3526,66,-10151005.71,5195843.752,Drug Drop Off Sites,Drug Drop Off Sites
Mount Vernon Police Department,213 1st Street NW,Mount Vernon,IA,52314,Law Enforcement,319-895-6141,71,-10176632.68,5149447.176,Drug Drop Off Sites,Drug Drop Off Sites
Muscatine County Sheriff's Office,400 Walnut Street,Muscatine,IA,52761,Law Enforcement,563-262-4190,72,-10134984.23,5075181.896,Drug Drop Off Sites,Drug Drop Off Sites
Worth County Sheriff Office,1000 Central,Northwood,IA,NA,Law Enforcement,641-324-2481,73,-10377013.71,5379811.534,Drug Drop Off Sites,Drug Drop Off Sites
Monona County Sheriff's Office,909 7th Street,Onawa,IA,51040,Law Enforcement,712-433-1414,74,-10697025.39,5165131.099,Drug Drop Off Sites,Drug Drop Off Sites
Mitchell County Sheriff Office,211 6th St,Osage,IA,50461,Law Enforcement,641-732-4740,75,-10331887.95,5355494.342,Drug Drop Off Sites,Drug Drop Off Sites
Pocahontas Police Department,23 W Elm Ave,Pocahontas,IA,50574,Law Enforcement,712-335-3536,77,-10538598.51,5271354.749,Drug Drop Off Sites,Drug Drop Off Sites
Lyon County Sheriff's Office,410 South Boone,Rock Rapids,IA,51246,Law Enforcement,712-472-2521,79,-10705535.17,5377396.689,Drug Drop Off Sites,Drug Drop Off Sites
Sac County Courthouse,100 NW State St,Sac City,IA,50583,Law Enforcement,712-662-7127,80,-10574085.23,5224418.406,Drug Drop Off Sites,Drug Drop Off Sites
Sioux City Police Department,601 Douglas Street,Sioux City,IA,51101,Law Enforcement,712-279-6353,83,-10731916.6,5235633.524,Drug Drop Off Sites,Drug Drop Off Sites
Clay County Sheriff Office,3115 W 4th St,Spencer,IA,51301,Law Enforcement,712-262-3221,84,-10594315.95,5333741.987,Drug Drop Off Sites,Drug Drop Off Sites
Spencer Police Department,405 1st Ave W,Spencer,IA,51301,Law Enforcement,712-262-2151,85,-10591624.43,5333520.461,Drug Drop Off Sites,Drug Drop Off Sites
Dickinson County Sheriff's Office,1802 Hill Ave,Spirit Lake,IA,51360,Law Enforcement,712-320-3010,86,-10586740.5,5376445.166,Drug Drop Off Sites,Drug Drop Off Sites
Hartig Drug,1600 University Ave.,Dubuque,IA,52001,Pharmacy,563-588-8708,87,-10095310.38,5235921.973,Drug Drop Off Sites,Drug Drop Off Sites
Clayton County Sheriff's Office,22680 230th Street,St. Olaf,IA,52072,Law Enforcement,563-245-2422,88,-10169769.82,5295497.816,Drug Drop Off Sites,Drug Drop Off Sites
Hartig Drug,7116th Ave. SE,Dyersville,IA,52040,Pharmacy,563-875-2552,89,-10143600.72,5233232.157,Drug Drop Off Sites,Drug Drop Off Sites
Buena Vista County Sheriff Office,411 Expansion Blvd,Storm Lake,IA,50588,Law Enforcement,712-749-2530,90,-10595270.73,5257601.153,Drug Drop Off Sites,Drug Drop Off Sites
Cedar County Sheriff Office,711 E South St,Tipton,IA,52772,Law Enforcement,563-886-2121,91,-10143818.67,5125795.543,Drug Drop Off Sites,Drug Drop Off Sites
Eagle Pharmacy,311 W. Broadway,Eagle Grove,IA,50533,Pharmacy,515-448-3814,92,-10453426.93,5260986.532,Drug Drop Off Sites,Drug Drop Off Sites
Tama County Sheriff's Office,100 North Main St,Toledo,IA,52342,Law Enforcement,641-484-4111,93,-10305933.85,5160338.663,Drug Drop Off Sites,Drug Drop Off Sites
Dowd Drug,307 State Street,Guthrie Center,IA,50115,Pharmacy,641-747-8317,94,-10520151.73,5112760.712,Drug Drop Off Sites,Drug Drop Off Sites
Benton County Sheriff Office,113 E 3rd St,Vinton,IA,52349,Law Enforcement,319-472-2337,95,-10244065.29,5186281.804,Drug Drop Off Sites,Drug Drop Off Sites
Black Hawk County Sheriff's Office,225 East 6th Street,Waterloo,IA,50703,Law Enforcement,319-291-2587,96,-10278505.96,5235760.424,Drug Drop Off Sites,Drug Drop Off Sites
Pexton Pharmacy,1812 Chatburn Plaza,Harlan,IA,51537,Pharmacy,712-755-2101,97,-10612583.3,5108197.716,Drug Drop Off Sites,Drug Drop Off Sites
Waterloo Police Department,715 Mulberry Street,Waterloo,IA,50703,Law Enforcement,319-291-4339,98,-10278405.15,5235988.661,Drug Drop Off Sites,Drug Drop Off Sites
Hamilton County Sheriff Office,2300 Superior St,Webster City,IA,50595,Law Enforcement,515-832-9500,99,-10443570.84,5229057.672,Drug Drop Off Sites,Drug Drop Off Sites
Webster City Police Department,400 Second Street,Webster City,IA,50595,Law Enforcement,515-832-9166,100,-10443577.3,5231550.508,Drug Drop Off Sites,Drug Drop Off Sites
Ryan Pharmacy,1100 1st Street E,Independence,IA,50644,Pharmacy,319-334-7171,101,-10228004.87,5231466.651,Drug Drop Off Sites,Drug Drop Off Sites
West Des Moines Police Department,250 Mills Civic Pkwy,West Des Moines,IA,50265,Law Enforcement,515-222-3300,102,-10436504.14,5096527.143,Drug Drop Off Sites,Drug Drop Off Sites
Fayette County Sheriff Office,220 N Industrial Parkway,West Union,IA,52175,Law Enforcement,563-422-3234,103,-10221223.22,5303354.067,Drug Drop Off Sites,Drug Drop Off Sites
Walgreens,901 N Ankeny Blvd,Ankeny,IA,50023,Pharmacy,515-964-3952,104,-10419528.15,5121968.868,Drug Drop Off Sites,Drug Drop Off Sites
Eby Drug,103 North 4th Ave,Logan,IA,51546,Pharmacy,712-644-2160,105,-10662905.27,5107687.543,Drug Drop Off Sites,Drug Drop Off Sites
Medicap Pharmacy,107 NE Delaware Ave,Ankeny,IA,50021,Pharmacy,515-964-8550,106,-10417394.17,5120987.119,Drug Drop Off Sites,Drug Drop Off Sites
Manning Pharmacy,317 Main Street,Manning,IA,51455,Pharmacy,712-655-2665,107,-10582607.15,5147268.323,Drug Drop Off Sites,Drug Drop Off Sites
Walgreens,3325 16th Ave SW,Cedar Rapids,IA,52404,Pharmacy,319-221-1498,108,-10209706.27,5155521.417,Drug Drop Off Sites,Drug Drop Off Sites
Walgreens,12753 University Avenue,Clive,IA,50325,Pharmacy,515-226-1786,109,-10441083.62,5101315.115,Drug Drop Off Sites,Drug Drop Off Sites
Bennett Pharmacy,1 W Main Street,New Hampton,IA,50659,Pharmacy,641-394-4156,111,-10276519.05,5321006.371,Drug Drop Off Sites,Drug Drop Off Sites
Main at Locust Pharmacy,129 W. Locust,Davenport,IA,52803,Pharmacy,563-324-1641,112,-10082777.9,5092058.214,Drug Drop Off Sites,Drug Drop Off Sites
Walgreens,1900 Hamilton Bldv,Sioux City,IA,51104,Pharmacy,712-252-6993,113,-10733051.91,5237782.091,Drug Drop Off Sites,Drug Drop Off Sites
Walgreens,1660 W Locust Street,Davenport,IA,52804,Pharmacy,563-324-3508,114,-10085611.66,5092061.739,Drug Drop Off Sites,Drug Drop Off Sites
Allen Clinic Pharmacy,146 W. Dale Street Suite 103,Waterloo,IA,50703,Pharmacy,319-235-3777,115,-10279179.75,5240067.24,Drug Drop Off Sites,Drug Drop Off Sites
"Greenwood Drug, Inc",2104 Kimball Ave,Waterloo,IA,50702,Pharmacy,319-234-6419,116,-10281138.36,5231782.275,Drug Drop Off Sites,Drug Drop Off Sites
Hartig Drug,21 West Main St,Waukon,IA,52172,Pharmacy,563-568-6315,117,-10183120.82,5353054.814,Drug Drop Off Sites,Drug Drop Off Sites
Meyer Pharmacy,110 10th St SW,Waverly,IA,50677,Pharmacy,319-352-3126,118,-10295165.76,5270252.528,Drug Drop Off Sites,Drug Drop Off Sites
Hartig Drug,517 Court Street,Willliamsburg,IA,52361,Pharmacy,319-668-1520,120,-10242367.67,5110421.252,Drug Drop Off Sites,Drug Drop Off Sites
Osceola County Sheriff's Office,309 6th Street,Sibley,IA,51249,Law Enforcement,712-754-2872,121,-10658806.2,5373463.02,Drug Drop Off Sites,Drug Drop Off Sites
Carroll County Sheriff's Office,114 East 6th Street,Carroll,IA,51401,Law Enforcement,712-792-4349,122,-10560486.92,5170787.635,Drug Drop Off Sites,Drug Drop Off Sites
Bettendorf Police Department,1609 State Street,Bettendorf,IA,52722,Law Enforcement,563-344-4020,123,-10075473.68,5090120.469,Drug Drop Off Sites,Drug Drop Off Sites
Lewis Family Drug,610 Park Street,Sheldon,IA,51201,Pharmacy,712-324-4331,133,-10669782.27,5340316.045,Drug Drop Off Sites,Drug Drop Off Sites
Benzer Pharmacy,101 North Walnut Street,Colfax,IA,50054,Pharmacy,515-674-3503,134,-10380036.54,5112836.999,Drug Drop Off Sites,Drug Drop Off Sites
Montross Pharmacy,120 North 1st Ave,Winterset,IA,50273,Pharmacy,515-462-2282,136,-10465656.02,5061899.751,Drug Drop Off Sites,Drug Drop Off Sites
Shopko Pharmacy,3402 Main Street,Emmetsburg,IA,50536,Pharmacy,712-415-1448,137,-10541316.36,5329022.317,Drug Drop Off Sites,Drug Drop Off Sites
Sigourney Police Department,100 North Jefferson Street,Sigourney,IA,52591,Law Enforcement,641-6222345,141,-10264096.09,5061704.138,Drug Drop Off Sites,Drug Drop Off Sites
Washington County Sheriff's Office,2181 Lexington Blvd,Washington,IA,52353,Law Enforcement,319-653-2107,144,-10210404.76,5058212.168,Drug Drop Off Sites,Drug Drop Off Sites
Newton Police Department,101 4th Street South,Newton,IA,50208,Law Enforcement,641-791-0850,145,-10359109.44,5116060.328,Drug Drop Off Sites,Drug Drop Off Sites
Shopko Pharmacy,109 North Market Street,Audubon,IA,50025,Pharmacy,712-563-3302,146,-10568368.25,5119996.503,Drug Drop Off Sites,Drug Drop Off Sites
Shopko Pharmacy,2220 Hwy 175,Onawa,IA,51040,Pharmacy,712-423-9648,150,-10693296.82,5165175.329,Drug Drop Off Sites,Drug Drop Off Sites
Asbury Police Department,5290 Grand Meadow Drive,Asbury,IA,52002,Law Enforcement,563-585-1874,151,-10099669.57,5236751.367,Drug Drop Off Sites,Drug Drop Off Sites
Adair County Sheriff's Office,302 E. Iowa Street,Greenfield,IA,50849,Law Enforcement,641-743-2148,152,-10514981.95,5057444.816,Drug Drop Off Sites,Drug Drop Off Sites
Dyersville Police Department,338 1St Avenue East,Dyersville,IA,52040,Law Enforcement,563-580-2918,153,-10143546.31,5233851.762,Drug Drop Off Sites,Drug Drop Off Sites
Community Pharmacy,13212 W. Main Street,Lake City,IA,51449,Pharmacy,712-464-7281,154,-10547214.75,5201096.538,Drug Drop Off Sites,Drug Drop Off Sites
Carroll Apathecary,425 Hwy 30 West Suite 140,Carroll,IA,51449,Pharmacy,712-792-2671,155,-10561219.18,5171094.415,Drug Drop Off Sites,Drug Drop Off Sites
United Community Services,4908 Franklin Avenue,Des Moines,IA,50310,Pharmacy,515-280-3860,156,-10429031.15,5102916.401,Drug Drop Off Sites,Drug Drop Off Sites
Larry's Pharmacy,1310 10th Ave North,Humboldt,IA,50548,Pharmacy,515-332-1627,158,-10489425.34,5271236.568,Drug Drop Off Sites,Drug Drop Off Sites
KRHC Family Pharmacy,1519 South Phillips,Algona,IA,50511,Pharmacy,515-295-4567,159,-10489293.67,5321760.841,Drug Drop Off Sites,Drug Drop Off Sites
Community Health Ctr Pharmacy,215 13th Ave. SW,Clarion,IA,50525,Pharmacy,515-532-2801,160,-10434473.22,5269553.343,Drug Drop Off Sites,Drug Drop Off Sites
Sergeant Bluff Pharmacy,105 Gaul Drive Suite A,Sergeant Bluff,IA,51054,Pharmacy,712-943-1494,161,-10725802.91,5221142.656,Drug Drop Off Sites,Drug Drop Off Sites
Mercy Family Pharmacy,1920 Elm Street,Dubuque,IA,52001,Pharmacy,563-589-9370,162,-10092914.09,5237970.029,Drug Drop Off Sites,Drug Drop Off Sites
Daniel Pharmacy,1114 Central Avenue,Fort Dodge,IA,50501,Pharmacy,515-573-3431,163,-10484381.83,5237043.008,Drug Drop Off Sites,Drug Drop Off Sites
Webster County Sheriff's Office,702 1st Ave. South,Fort Dodge,IA,50501,Law Enforcement,515-573-1410,164,-10484971.92,5236772.68,Drug Drop Off Sites,Drug Drop Off Sites
Clear Lake Police Department,211 1st Ave. North,Clear Lake,IA,50428,Law Enforcement,641-357-2186,168,-10395416.44,5332711.738,Drug Drop Off Sites,Drug Drop Off Sites
Community Pharmacy,1316 South Main Street,Clarion,IA,50525,Pharmacy,515-532-2811,169,-10434274.31,5269630.174,Drug Drop Off Sites,Drug Drop Off Sites
Scott Pharmacy,238 S Main Street,Fayette,IA,52142,Pharmacy,563-425-4530,170,-10219372.87,5288011.925,Drug Drop Off Sites,Drug Drop Off Sites
Wagner Pharmacy,1726 N. 2nd Street,Clinton,IA,52732,Pharmacy,563-242-0626,171,-10039127.68,5140631.619,Drug Drop Off Sites,Drug Drop Off Sites
Ankeny Medical Park Pharmacy,3625 N Ankeny Blvd,Ankeny,IA,50023,Pharmacy,515965-4680,172,-10419515.99,5125024.054,Drug Drop Off Sites,Drug Drop Off Sites
Scott's Thrifty White Drug,629 Sixth Avenue,DeWitt,IA,52742,Pharmacy,563-659-5042,173,-10078756.42,5134283.253,Drug Drop Off Sites,Drug Drop Off Sites
Lewis Family Drug,143 South Main Ave,Sioux Center,IA,51250,Pharmacy,712-722-2704,174,-10706211.03,5323677.771,Drug Drop Off Sites,Drug Drop Off Sites
Anamosa Police Department,100 East First Street,Anamosa,IA,52205,Law Enforcement,319-462-4434,175,-10161857.12,5176938.822,Drug Drop Off Sites,Drug Drop Off Sites
NuCara -West Union,119 N. Vine Street,West Union,IA,52175,Pharmacy,563-422-3151,176,-10220044.36,5306201.229,Drug Drop Off Sites,Drug Drop Off Sites
NuCara - Conrad,110 Center Street,Conrad,IA,50621,Pharmacy,641-366-2441,177,-10338640.97,5194671.833,Drug Drop Off Sites,Drug Drop Off Sites
Lewis Kingsley,7 West Second Street,Kingsley,IA,51028,Pharmacy,712-378-2700,179,-10683094.83,5249505.486,Drug Drop Off Sites,Drug Drop Off Sites
Lewis - Sibley,420 Second Ave,Sibley,IA,51249,Pharmacy,712-754-3859,180,-10658997.63,5373798.044,Drug Drop Off Sites,Drug Drop Off Sites
LaPorte City Pharmacy,601 Highway 218 North,LaPorte City,IA,50651,Pharmacy,319-342-3620,181,-10263412,5209012.285,Drug Drop Off Sites,Drug Drop Off Sites
Covenant Family Pharmacy,2710 St Francis Drive Suite 101,Waterloo,IA,50702,Pharmacy,319-272-5700,182,-10279715.75,5230175.959,Drug Drop Off Sites,Drug Drop Off Sites
Rex Pharmacy,507 Chestnut Street,Atlantic,IA,50022,Pharmacy,712-243-2110,183,-10576803.02,5072367.323,Drug Drop Off Sites,Drug Drop Off Sites
Lewis Family Drug,1319 10th Street,Rock Valley,IA,51247,Pharmacy,712-476-5171,185,-10719885.09,5342465.952,Drug Drop Off Sites,Drug Drop Off Sites
Center Pharmacy,312 9th Street SW,Waverly,IA,50677,Pharmacy,319-483-4100,186,-10295028.1,5270014.819,Drug Drop Off Sites,Drug Drop Off Sites
Jesup Pharmacy,1094 220th Street,Jesup,IA,50648,Pharmacy,319-827-6887,187,-10248306.37,5231370.967,Drug Drop Off Sites,Drug Drop Off Sites
Delaware County Sheriff's Office,304 East Delaware,Manchester,IA,52057,Law Enforcement,563-927-3135,189,-10180753.98,5233630.819,Drug Drop Off Sites,Drug Drop Off Sites
Bremer County Sheriff's Office,111 4th Street NE,Waverly,IA,50677,Law Enforcement,319-352-2535,190,-10293231.12,5270436.096,Drug Drop Off Sites,Drug Drop Off Sites
Jesup Police Department,791 6th Street,Jesup,IA,50648,Law Enforcement,319-827-1919,193,-10248454.25,5232455.569,Drug Drop Off Sites,Drug Drop Off Sites
Buchanan County Sheriff's Office,210 5th Ave. NE,Independence,IA,50644,Law Enforcement,319-334-2568,194,-10229082.91,5231698.374,Drug Drop Off Sites,Drug Drop Off Sites
Lewis Pharmacy - Spirit Lake,2202 17th Street,Spirit Lake,IA,51360,Pharmacy,712-336-4731,195,-10589144.6,5376563.834,Drug Drop Off Sites,Drug Drop Off Sites
Avera Holy Family Health,826 N 8th Street,Estherville,IA,51334,Pharmacy,712-362-2631,196,-10556898.49,5374518.347,Drug Drop Off Sites,Drug Drop Off Sites
NuCara Ackley,722 Main Street,Ackley,IA,50601,Pharmacy,641-847-2585,200,-10358549.25,5244349.134,Drug Drop Off Sites,Drug Drop Off Sites
NuCara Pharmacy Story City,621 Broad Street,Story City,IA,50248,Pharmacy,515-733-2233,201,-10418924.66,5189051.587,Drug Drop Off Sites,Drug Drop Off Sites
Cresco Family Pharmacy,235 8th Ave W.,Cresco,IA,52136,Pharmacy,563-547-2101,203,-10254467.06,5370269.383,Drug Drop Off Sites,Drug Drop Off Sites
NuCara Pharmacy-Ames,3600 University Blvd,Ames,IA,50010,Pharmacy,515-292-0021,204,-10423105.3,5162920.386,Drug Drop Off Sites,Drug Drop Off Sites
NuCara Pharmacy-Nevada,1002 Sixth St.,Nevada,IA,50201,Pharmacy,515-382-2485,205,-10403071.13,5164099.988,Drug Drop Off Sites,Drug Drop Off Sites
NuCara Pleasant Hill,4927 Maple Drive,Pleasant Hill,IA,50327,Pharmacy,515-2641503,206,-10410213.48,5100928.145,Drug Drop Off Sites,Drug Drop Off Sites
Lewis Pharmacy - Hull,1044 Main St,Hull,IA,51239,Pharmacy,712-439-1611,207,-10701550.61,5340712.814,Drug Drop Off Sites,Drug Drop Off Sites
Stangel Pharmacy,821 Iowa Ave,Onawa,IA,51040,Pharmacy,712-423-1131,208,-10697321.45,5164975.099,Drug Drop Off Sites,Drug Drop Off Sites
